text,Loaded Language,Name calling/Labeling,Smears,Appeal to fear/prejudice,Black-and-white Fallacy/Dictatorship,Exaggeration/Minimisation,Slogans,Misrepresentation of Someone's Position (Straw Man),"Obfuscation, Intentional vagueness, Confusion",Presenting Irrelevant Data (Red Herring),Whataboutism,Causal Oversimplification,Appeal to authority,Flag-waving,Doubt,Thought-terminating cliché,Bandwagon,Reductio ad hitlerum,Repetition,Glittering generalities (Virtue)
"SCARE TATICS BY THE LEFT.

Close businesses
Close stadiums
Destroy the stock market
Try to eliminate TRUMP RALLIES.
Is this part of a larger CONSPIRÁCY?
CORONAVIRUS
DON'T PANIC..
THINK AMERICA!
",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THOSE LIBERALS HATE ME

IT'S BECAUSE I'M BLACK ISN'T IT ?
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If you think ""they"" are hiding the cure for cancer, but you discourage people from getting the HPV and Hep. B vaccines...

then YOU are ""they.""
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A society that keeps cures a secret, in an effort to sell medications for huge profits, is not a civilised society; it is a mental institution ruled over by phsychopaths.
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ITS NOT THE HERO WE NEED

BUT THE HERO WE DESERVE
",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TRUMP CURES CORONAVIRUS!

CURING CORONA VIRUS IS RACIST

WE HAVE THE RIGHT TO DIE FROM OUR CORONAVIRUS

DEMOCRATS ARE OUTRAGED!
",1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"UN

New York UN Office Recruits Paramilitary Troops for 'Disarmament' and Reintegration' of US Civilians

WELCOME TO AMERICA

",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HIROSHIMA
1945
2016

DETROIT
1945
2016

MORAL OF THE STORY...
IT'S EASIER TO COME BACK FROM A NUCLEAR BOMB THAN DECADES OF DEMOCRATIC LEADERSHIP
",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Reminder: This building in Oklahoma City was blown up and destroyed just 4 days before Hillary Clinton was to be indicted in the Whitewater scandal. 
All documents lost!
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"How to tell if your dog is involved in a sex scandal
",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I PROMISE.

I PROMISE.

I PROMISE.

I DELIVER.
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"THE PEOPLE WHO ONCE CALLED OUR SOLDIERS BABY KILLERS

NOW MARCH FOR THE RIGHT TO KILL BABIES
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DEMOCRATS STARTED WEARING ALL WHITE...

AGAIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALL I WANT FOR CHRISTMAS IS JUSTICE
",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LEFTISTS THINK INJECTING CATTLE WITH HORMONES IS EVIL

BUT THINK INJECTING KIDS WITH HORMONES TO CHANGE THEIR GENDER IS JUST FINE
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CORRECT:

THE WORLD

CHINA
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I HATE TRUMP

MOST TERRORIST DO",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The most costly errors in all of history

World Health Organization (WHO)
Preliminary investigations conducted by the Chinese authorities have found no clear evidence of human-to-human transmission of the novel #coronavirus (2019-nCoV) identified in #Wuhan, #China
14 Jan 2020

WORLD NEWS FEBRUARY 3, 2020 / 10:33 PM / 2 MONTHS AGO
WHO chief says widespread travel bans not needed to beat China virus
",0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COVID-19 is everywhere but countries with heads of state managing the crisis better seem to have something in common..

GERMANY

NEW ZEALAND

BELGIUM

FINLAND

ICELAND

DENMARK
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PEOPLE KEEP ASKING: ""WHY DID GOD TURN HIS BACK ON AMERICA?""

HE DIDN'T.
AMERICA TURNED HER BACK ON GOD. 
THIS IS WHAT THE WORLD LOOKS LIKE WITHOUT HIM.
",1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"COULDN'T WASH HANDS

IS NOW EXTINCT
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WHAT KIDS THINK COMMUNISM IS

WHAT COMMUNISM REALLY IS
",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"8 YEARS UNDER OBAMA
4 MILLION JOBS LOST
UNEMPLOYMENT PEAKED TO 9.9%
GDP DOWN 2.8%

2 1/2 YEARS UNDER TRUMP
5.1 MILLION JOBS GAINED
UNEMPLΟΥΜΕΝΤ FELL TO 3.6%
GDP UP 3.2%
",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"THE TWO BIGGEST THREATS TO AMERICA

THE WORST SENATE LEADER EVER AND THE MOST CORRUPT PRESIDENT EVER
",1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"This is your child with WHOOPING COUGH

VACCINATE your children NOW
",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Yes, Mr. Trump, let's make America great again. But first, get one thing straight: America was great – before you were elected.""

Barbra Streisand
",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"IT WAS NEVER ABOUT THE VIRUS 

IT'S ABOUT SEEING HOW FAR WE CAN PUSH YOU BEFORE YOU PUSH BACK
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HOW DARE YOU NOT VOTERINO FOR HECKIN' BERNERINO?! DON'T YOU KNOW THAT A VOTE FOR BIDEN IS A VOTE FOR FASCISM? THE WORLD IS LITERALLY DYING AND BERNIE-SAMA IS THE ONLY ONE WHO CAN SAVE IT!

haha hey its the Obama guy

RIDIN WITH BIDEN **2020**",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Killed thousands of innocents with drone strikes Received a Nobel Peace

Decided not to retaliate and kill 150 people over an unmanned drone 
Called a Warmonger
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SPELLING LESSON

THE LAST 4 LETTERS IN ""AMERICAN"": ""I CAN!""

THE LAST 4 LETTERS IN ""REPUBLICAN"": ""I CAN!""

THE LAST 4 LETTERS IN ""DEMOCRATS"": RATS!
",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""If you tell a lie big enough and keep repeating it, people will eventually come to believe it.""
- Joseph Goebbels, Nazi Propaganda Minister

The New York Times 
CNN 
BBC
TIME
MSNBC
NBC
Los Angeles Times
Fox NEWS channel
npr
abc
CBS NEWS
The Washington Post
USA TODAY
",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MUST BE AN ELECTION COMING, DEMOCRATS ARE VISITING BLACK COMMUNITIES AGAIN.

",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Deaths in the U.S. During a 10 Year Period: 2004 to 2015

Due to Measles
ZERO
Source: CDC

Due to Measles Vaccines
108
Source: VAERS database
",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DEMOCRATS HAVE OUTRIGHT STATED THAT THEY WILL OBSTRUCT EVERYTHING THE REPUBLICAN PRESIDENT DOES. 
EVEN IF IT MEANS HARMING AMERICA 
THEY HAVE PUT PARTY BEFORE COUNTRY AND IT IS UNACCEPTABLE
",1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Democratic Party IS THE PARTY OF CRIME & EVIL...  A TERRORIST ORGANIZATION WHO HATES AMERICA & AMERICANS

TRAITORS TO AMERICA

THE COMMUNIST PARTY

SAVE AMERICA SUPPORT TRUMP
",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"DON'T FORGET THAT IN JANUARY:

TRUMP FORMED THE CORONAVIRUS TASK FORCE

THE DEMS WERE WASTING TIME ON A SHAM IMPEACHMENT
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"TILL DEATH DO US PART

NO TO VIOLENCE AGAINST WOMEN
",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If y'all liberals want to tear down monuments to slavery & racism, I have just the monument for you!

DEMOCRATIC NATIONAL HEADQUARTERS
430 SOUTH CAPITOL STREET
",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If Trump isn't Hitler, Then l'm a Moron

Self-awareness
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"I'm not pregnant, I haven't been tested. 
But the President says if it's not tested it's not real. 
I think it's gas...",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HISTORY HAS SHOWN THAT THESE ARE THE FIRST TWO THINGS BANNED BY TOTALITARIAN GOVERNMENTS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"IF WE DIVIDE 125 GENDERS BY THREE BATHROOMS

HOW MUCH CLIMATE CHANGE DO WE HAVE?",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Finished 4th in lowa behind an Old Communist, a Gay guy and a Fake Indian!

There's nothing quite like getting your ass beat by the Village People!",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Do you remember when: Swine Flu Ebola Virus, and Zika Virus Caused mass cancellations?
Crashed our stock market?
Caused confusion from misinformation?
Drove people to stockpile toilet paper?

Of Course not... Because Obama HANDLED that SHIT!
",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Former Presidents can be IMPEACHED!
IMPEACH OBAMA!
",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The Real Virus Threatening America
",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""If a law is unjust, a man is not only right to disobey it, he is obligated to do so.""
 -Thomas Jefferson
",1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THE BULGE IN CONSERVATIVE GIRLS PANTS IS A GUN

THE BULGE IN LIBERAL GIRLS PANTS IS A PENIS
",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Transgender man gives birth to non-binary partner's baby with female sperm donor

If I didn't see it, it didn't happen.
",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"21 people running for President and only 1 stands against killing babies
",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HILLARY CLINTON JOE BIDEN 

WEEKEND AT BERNIES'S

HE MAY BE DEAD... BUT HE'S THE LIFE OF THE PARTY!",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""People are dying who have never died before.""
- Donald J. Trump, March 18, 2020",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THE PARTY OF 'DIVERSITY'

BLACK WOMAN
BLACK
BLACK
SAMOAN WOMAN
MEXICAN
OLD WHITE MILLIONAIRE

FAKE MEXICAN
MOSTLY GAS
GALAXY DUST
TAIWANESE
GAY
OLD WHITE MILLIONAIRE",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ELEGANT AT LYING

BRUTAL WITH THE TRUTH
",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THIS IS THE DIFFERENCE BETWEEN 1.4% GDP AND 4.1% GDP
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WHAT A CONTRAST

FROM WORST EVER TO BEST EVER",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Socialism only works in two places: Heaven where they don't need it, and hell where they already have it.""
Ronald Regan
",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THAT'S A FACT 

DID YOU KNOW THE NRA TRAINED BLACK AMERICANS TO FIGHT AGAINST THE DEMOCRAT FORMED GROUP THE KKK
",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"TRAITORS

MOSCOW MITCH

MOSCOW'S BITCH

",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PEDO TRASH PRETENDING TO BE LIBERTARIAN

PEOPLE THAT UNDERSTAND CONSENT

THE FUCK OUTTA HERE
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"I DIDN'T KNOW THERE WAS A SEXUAL PREDATOR AWARD...

THANKS DEMOCRATS
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WHEN YOU'RE ANTI TRUMP BUT YOU'RE PRO RAPIST

THEY ALL KNEW AND

",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KEEP IN MIND THAT DEMOCRATS VOTED TO FINE AMERICAN CITIZENS FOR NOT BUYING INSURANCE, AND THEN CONSPIRED TO GIVE IT TO ILLEGAL ALIENS FOR FREE.
",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"I'LL NEVER FORGET WHO DID THIS

NO MATTER HOW MUCH FACEBOOK DEFENDS THEM
",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DEMOCRAT PARTY

NBC

CBS

MSNBC

CNN
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A journalist asked Justin Trudeau when more help would arrive for seniors...

...he answered by saying ""the priority was on helping other groups of Canadians first.""
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Guess who's waiting for someone else to do all the work lol

Bernie
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LIBERAL LOGIC: ""DON'T CALL THEM ANIMALS!""

""DON'T CALL THEM PEOPLE!""
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"WHY DO LIBERALS FIGHT TO KEЕР THESE AND FIGHT TO KILL THESE
",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PATRIOTS

WHICH GROUP HELD THE COUNTRY'S INTERESTS OVER THEIR OWN PERSONAL GAIN?

PARASITES
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Coward

American
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Acquiring immunity ""the natural way"" 

Acquiring immunity through vaccination

Which would you choose?
",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Trump Reportedly Offered A German Firm $1,00,000,000 For Exclusive Rights To Any Coronavirus Vaccine.

""Trump wanted not only to control any new vaccine but also to make sure that it would only be available on a for-profit basis,"" reported Common Dreams.

What could be more depraved than trying to profit off of the suffering of the entire world?
 Spread his shame.",1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FREE SPEECH?

HATE SPEECH?

SOMEONE EXPLAIN THIS SHIT...

",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"IF YOU PUT HILLARY'S ARREST ON PAY-PER-VIEW...

...YOU COULD SETTLE THE NATIONAL DEBT!

",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HI, I'M GEORGE SOROS
A BILLIONAIRE SOCIOPATHIC GLOBALIST
I DESTROY ECONOMIES, CULTURES & COUNTRIES
I PROFIT OFF OF THE DESTRUCTION OF ENTIRE SOCIETIES
I FINANCE BLACK LIVES MATTER RIOTS
I AM FUNDING ANTIFA",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VOTE IT OUT
VOTE IT OUT

HE SAID IT WASN'T REAL.
HE SAID IT'S CONTAINED.
HE SAID IT WOULD DISAPPEAR.
HE BLAMED DEMOCRATS.
HE SHARED HIS HUNCHES.
HE OVERRULED HIS SCIENTISTS.
HE HAS FAILED.
HE HAS ENDANGERED
EVERY ONE OF US.

VOTE IT OUT
VOTE IT OUT
",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"DEMOCRATS THEN

DEMOCRATS NOW
",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HARRY S. TRUMAN
""YOU CAN'T GET RICH IN POLITICS UNLESS YOU'RE A CROOK.""

WE KNOW
",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"I HAVE A CHANCE TO BE THE FIRST GAY UNITED STATES PRESIDENT...

...AHH, EXCUSE ME?

",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"TRUTH is HATE to those who HATE the TRUTH

TRUTH is LOVE!
",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"THE REAL VIRUS THREATENING AMERICA
",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"This iconic photo of two boys - one vaccinated against smallpox and one who hadn't been vaccinated - was published in 1901, and taken by Dr Allan Warner at the Leicester Isolation Hospital. 
",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
